S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Directional Deformation (m)
0.	0.	-2.5e-002	0.	0.
1.6129e-003	0.	-2.3387e-002	0.	0.
3.2258e-003	0.	-2.1774e-002	0.	0.
4.8387e-003	0.	-2.0161e-002	0.	0.
6.4516e-003	0.	-1.8548e-002	0.	0.
8.0645e-003	0.	-1.6935e-002	0.	0.
9.6774e-003	0.	-1.5323e-002	0.	0.
1.129e-002	0.	-1.371e-002	0.	0.
1.2903e-002	0.	-1.2097e-002	0.	0.
1.4516e-002	0.	-1.0484e-002	0.	0.
1.6129e-002	0.	-8.871e-003	0.	0.
1.7742e-002	0.	-7.2581e-003	0.	0.
1.9355e-002	0.	-5.6452e-003	0.	0.
2.0968e-002	0.	-4.0323e-003	0.	0.
2.2581e-002	0.	-2.4194e-003	0.	0.
2.4194e-002	0.	-8.0645e-004	0.	0.
2.5806e-002	0.	8.0645e-004	0.	0.
2.7419e-002	0.	2.4194e-003	0.	0.
2.9032e-002	0.	4.0323e-003	0.	0.
3.0645e-002	0.	5.6452e-003	0.	0.
3.2258e-002	0.	7.2581e-003	0.	0.
3.3871e-002	0.	8.871e-003	0.	0.
3.5484e-002	0.	1.0484e-002	0.	0.
3.7097e-002	0.	1.2097e-002	0.	0.
3.871e-002	0.	1.371e-002	0.	0.
4.0323e-002	0.	1.5323e-002	0.	0.
4.1935e-002	0.	1.6935e-002	0.	0.
4.3548e-002	0.	1.8548e-002	0.	0.
4.5161e-002	0.	2.0161e-002	0.	0.
4.6774e-002	0.	2.1774e-002	0.	0.
4.8387e-002	0.	2.3387e-002	0.	0.
5.e-002	0.	2.5e-002	0.	0.
