S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Directional Deformation (m)
0.	-0.425	0.	0.	0.
4.2289e-003	-0.42077	0.	0.	0.
8.4577e-003	-0.41654	0.	0.	0.
1.2687e-002	-0.41231	0.	0.	0.
1.6915e-002	-0.40808	0.	0.	0.
2.1144e-002	-0.40386	0.	0.	0.
2.5373e-002	-0.39963	0.	0.	0.
2.9602e-002	-0.3954	0.	0.	0.
3.3831e-002	-0.39117	0.	0.	0.
3.806e-002	-0.38694	0.	0.	0.
4.2289e-002	-0.38271	0.	0.	0.
4.6517e-002	-0.37848	0.	0.	0.
5.0746e-002	-0.37425	0.	0.	0.
5.4975e-002	-0.37002	0.	0.	0.
5.9204e-002	-0.3658	0.	0.	0.
6.3433e-002	-0.36157	0.	0.	0.
6.7662e-002	-0.35734	0.	0.	0.
7.1891e-002	-0.35311	0.	0.	0.
7.6119e-002	-0.34888	0.	0.	0.
8.0348e-002	-0.34465	0.	0.	0.
8.4577e-002	-0.34042	0.	0.	0.
8.8806e-002	-0.33619	0.	0.	0.
9.3035e-002	-0.33197	0.	0.	0.
9.7264e-002	-0.32774	0.	0.	0.
0.10149	-0.32351	0.	0.	0.
0.10572	-0.31928	0.	0.	0.
0.10995	-0.31505	0.	0.	0.
0.11418	-0.31082	0.	0.	0.
0.11841	-0.30659	0.	0.	0.
0.12264	-0.30236	0.	0.	0.
0.12687	-0.29813	0.	0.	0.
0.13109	-0.29391	0.	0.	0.
0.13532	-0.28968	0.	0.	0.
0.13955	-0.28545	0.	0.	0.
0.14378	-0.28122	0.	0.	0.
0.14801	-0.27699	0.	0.	0.
0.15224	-0.27276	0.	0.	0.
0.15647	-0.26853	0.	0.	0.
0.1607	-0.2643	0.	0.	0.
0.16493	-0.26007	0.	0.	0.
0.16915	-0.25585	0.	0.	0.
0.17338	-0.25162	0.	0.	0.
0.17761	-0.24739	0.	0.	0.
0.18184	-0.24316	0.	0.	0.
0.18607	-0.23893	0.	0.	0.
0.1903	-0.2347	0.	0.	0.
0.19453	-0.23047	0.	0.	0.
0.19876	-0.22624	0.	0.	0.
0.20299	-0.22201	0.	0.	0.
0.20721	-0.21779	0.	0.	0.
0.21144	-0.21356	0.	0.	0.
0.21567	-0.20933	0.	0.	0.
0.2199	-0.2051	0.	0.	0.
0.22413	-0.20087	0.	0.	0.
0.22836	-0.19664	0.	0.	0.
0.23259	-0.19241	0.	0.	0.
0.23682	-0.18818	0.	0.	0.
0.24104	-0.18396	0.	0.	0.
0.24527	-0.17973	0.	0.	0.
0.2495	-0.1755	0.	0.	0.
0.25373	-0.17127	0.	0.	0.
0.25796	-0.16704	0.	0.	0.
0.26219	-0.16281	0.	0.	0.
0.26642	-0.15858	0.	0.	0.
0.27065	-0.15435	0.	0.	0.
0.27488	-0.15012	0.	0.	0.
0.2791	-0.1459	0.	0.	0.
0.28333	-0.14167	0.	0.	0.
0.28756	-0.13744	0.	0.	0.
0.29179	-0.13321	0.	0.	0.
0.29602	-0.12898	0.	0.	0.
0.30025	-0.12475	0.	0.	0.
0.30448	-0.12052	0.	0.	0.
0.30871	-0.11629	0.	0.	0.
0.31294	-0.11206	0.	0.	0.
0.31716	-0.10784	0.	0.	0.
0.32139	-0.10361	0.	0.	0.
0.32562	-9.9378e-002	0.	0.	0.
0.32985	-9.5149e-002	0.	0.	0.
0.33408	-9.092e-002	0.	0.	0.
0.33831	-8.6692e-002	0.	0.	0.
0.34254	-8.2463e-002	0.	0.	0.
0.34677	-7.8234e-002	0.	0.	0.
0.351	-7.4005e-002	0.	0.	0.
0.35522	-6.9776e-002	0.	0.	0.
0.35945	-6.5547e-002	0.	0.	0.
0.36368	-6.1318e-002	0.	0.	0.
0.36791	-5.709e-002	0.	0.	0.
0.37214	-5.2861e-002	0.	0.	0.
0.37637	-4.8632e-002	0.	0.	0.
0.3806	-4.4403e-002	0.	0.	0.
0.38483	-4.0174e-002	0.	0.	0.
0.38905	-3.5945e-002	0.	0.	0.
0.39328	-3.1716e-002	0.	0.	0.
0.39751	-2.7488e-002	0.	0.	0.
0.40174	-2.3259e-002	0.	0.	0.
0.40597	-1.903e-002	0.	0.	0.
0.4102	-1.4801e-002	0.	0.	0.
0.41443	-1.0572e-002	0.	0.	0.
0.41866	-6.3433e-003	0.	0.	0.
0.42289	-2.1144e-003	0.	0.	0.
0.42711	2.1144e-003	0.	0.	0.
0.43134	6.3433e-003	0.	0.	0.
0.43557	1.0572e-002	0.	0.	0.
0.4398	1.4801e-002	0.	0.	0.
0.44403	1.903e-002	0.	0.	0.
0.44826	2.3259e-002	0.	0.	0.
0.45249	2.7488e-002	0.	0.	0.
0.45672	3.1716e-002	0.	0.	0.
0.46095	3.5945e-002	0.	0.	0.
