Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
445	0.425	2.5e-002	0.	0.
453	0.425	-2.5e-002	0.	0.
454	0.425	-2.3e-002	0.	0.
455	0.425	-2.1e-002	0.	0.
456	0.425	-1.9e-002	0.	0.
457	0.425	-1.7e-002	0.	0.
458	0.425	-1.5e-002	0.	0.
459	0.425	-1.3e-002	0.	0.
460	0.425	-1.1e-002	0.	0.
461	0.425	-9.e-003	0.	0.
462	0.425	-7.e-003	0.	0.
463	0.425	-5.e-003	0.	0.
464	0.425	-3.e-003	0.	0.
465	0.425	-1.e-003	0.	0.
466	0.425	1.e-003	0.	0.
467	0.425	3.e-003	0.	0.
468	0.425	5.e-003	0.	0.
469	0.425	7.e-003	0.	0.
470	0.425	9.e-003	0.	0.
471	0.425	1.1e-002	0.	0.
472	0.425	1.3e-002	0.	0.
473	0.425	1.5e-002	0.	0.
474	0.425	1.7e-002	0.	0.
475	0.425	1.9e-002	0.	0.
476	0.425	2.1e-002	0.	0.
477	0.425	2.3e-002	0.	0.
723	-0.425	-2.5e-002	0.	0.
724	-0.423	-2.5e-002	0.	0.
725	-0.421	-2.5e-002	0.	0.
726	-0.419	-2.5e-002	0.	0.
727	-0.417	-2.5e-002	0.	0.
728	-0.415	-2.5e-002	0.	0.
729	-0.413	-2.5e-002	0.	0.
730	-0.411	-2.5e-002	0.	0.
731	-0.409	-2.5e-002	0.	0.
732	-0.407	-2.5e-002	0.	0.
733	-0.405	-2.5e-002	0.	0.
734	-0.403	-2.5e-002	0.	0.
735	-0.401	-2.5e-002	0.	0.
736	-0.399	-2.5e-002	0.	0.
737	-0.397	-2.5e-002	0.	0.
738	-0.395	-2.5e-002	0.	0.
739	-0.393	-2.5e-002	0.	0.
740	-0.391	-2.5e-002	0.	0.
741	-0.389	-2.5e-002	0.	0.
742	-0.387	-2.5e-002	0.	0.
743	-0.385	-2.5e-002	0.	0.
744	-0.383	-2.5e-002	0.	0.
745	-0.381	-2.5e-002	0.	0.
746	-0.379	-2.5e-002	0.	0.
747	-0.377	-2.5e-002	0.	0.
748	-0.375	-2.5e-002	0.	0.
749	-0.373	-2.5e-002	0.	0.
750	-0.371	-2.5e-002	0.	0.
751	-0.369	-2.5e-002	0.	0.
752	-0.367	-2.5e-002	0.	0.
753	-0.365	-2.5e-002	0.	0.
754	-0.363	-2.5e-002	0.	0.
755	-0.361	-2.5e-002	0.	0.
756	-0.359	-2.5e-002	0.	0.
757	-0.357	-2.5e-002	0.	0.
758	-0.355	-2.5e-002	0.	0.
759	-0.353	-2.5e-002	0.	0.
760	-0.351	-2.5e-002	0.	0.
761	-0.349	-2.5e-002	0.	0.
762	-0.347	-2.5e-002	0.	0.
763	-0.345	-2.5e-002	0.	0.
764	-0.343	-2.5e-002	0.	0.
765	-0.341	-2.5e-002	0.	0.
766	-0.339	-2.5e-002	0.	0.
767	-0.337	-2.5e-002	0.	0.
768	-0.335	-2.5e-002	0.	0.
769	-0.333	-2.5e-002	0.	0.
770	-0.331	-2.5e-002	0.	0.
771	-0.329	-2.5e-002	0.	0.
772	-0.327	-2.5e-002	0.	0.
773	-0.325	-2.5e-002	0.	0.
774	-0.323	-2.5e-002	0.	0.
775	-0.321	-2.5e-002	0.	0.
776	-0.319	-2.5e-002	0.	0.
777	-0.317	-2.5e-002	0.	0.
778	-0.315	-2.5e-002	0.	0.
779	-0.313	-2.5e-002	0.	0.
780	-0.311	-2.5e-002	0.	0.
781	-0.309	-2.5e-002	0.	0.
782	-0.307	-2.5e-002	0.	0.
783	-0.305	-2.5e-002	0.	0.
784	-0.303	-2.5e-002	0.	0.
785	-0.301	-2.5e-002	0.	0.
786	-0.299	-2.5e-002	0.	0.
787	-0.297	-2.5e-002	0.	0.
788	-0.295	-2.5e-002	0.	0.
789	-0.293	-2.5e-002	0.	0.
790	-0.291	-2.5e-002	0.	0.
791	-0.289	-2.5e-002	0.	0.
792	-0.287	-2.5e-002	0.	0.
793	-0.285	-2.5e-002	0.	0.
794	-0.283	-2.5e-002	0.	0.
795	-0.281	-2.5e-002	0.	0.
796	-0.279	-2.5e-002	0.	0.
797	-0.277	-2.5e-002	0.	0.
798	-0.275	-2.5e-002	0.	0.
799	-0.273	-2.5e-002	0.	0.
800	-0.271	-2.5e-002	0.	0.
801	-0.269	-2.5e-002	0.	0.
802	-0.267	-2.5e-002	0.	0.
803	-0.265	-2.5e-002	0.	0.
804	-0.263	-2.5e-002	0.	0.
805	-0.261	-2.5e-002	0.	0.
806	-0.259	-2.5e-002	0.	0.
807	-0.257	-2.5e-002	0.	0.
808	-0.255	-2.5e-002	0.	0.
809	-0.253	-2.5e-002	0.	0.
810	-0.251	-2.5e-002	0.	0.
811	-0.249	-2.5e-002	0.	0.
812	-0.247	-2.5e-002	0.	0.
813	-0.245	-2.5e-002	0.	0.
814	-0.243	-2.5e-002	0.	0.
815	-0.241	-2.5e-002	0.	0.
816	-0.239	-2.5e-002	0.	0.
817	-0.237	-2.5e-002	0.	0.
818	-0.235	-2.5e-002	0.	0.
819	-0.233	-2.5e-002	0.	0.
820	-0.231	-2.5e-002	0.	0.
