S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Directional Deformation (m)
0.	0.	-2.5e-002	0.	6.8454e-010
1.6129e-003	0.	-2.3387e-002	0.	6.8264e-010
3.2258e-003	0.	-2.1774e-002	0.	6.8077e-010
4.8387e-003	0.	-2.0161e-002	0.	6.7893e-010
6.4516e-003	0.	-1.8548e-002	0.	6.7711e-010
8.0645e-003	0.	-1.6935e-002	0.	6.7534e-010
9.6774e-003	0.	-1.5323e-002	0.	6.7361e-010
1.129e-002	0.	-1.371e-002	0.	6.7198e-010
1.2903e-002	0.	-1.2097e-002	0.	6.7052e-010
1.4516e-002	0.	-1.0484e-002	0.	6.6925e-010
1.6129e-002	0.	-8.871e-003	0.	6.6816e-010
1.7742e-002	0.	-7.2581e-003	0.	6.6722e-010
1.9355e-002	0.	-5.6452e-003	0.	6.6638e-010
2.0968e-002	0.	-4.0323e-003	0.	6.6556e-010
2.2581e-002	0.	-2.4194e-003	0.	6.6471e-010
2.4194e-002	0.	-8.0645e-004	0.	6.6375e-010
2.5806e-002	0.	8.0645e-004	0.	6.6267e-010
2.7419e-002	0.	2.4194e-003	0.	6.6142e-010
2.9032e-002	0.	4.0323e-003	0.	6.5992e-010
3.0645e-002	0.	5.6452e-003	0.	6.582e-010
3.2258e-002	0.	7.2581e-003	0.	6.5618e-010
3.3871e-002	0.	8.871e-003	0.	6.5373e-010
3.5484e-002	0.	1.0484e-002	0.	6.5074e-010
3.7097e-002	0.	1.2097e-002	0.	6.4544e-010
3.871e-002	0.	1.371e-002	0.	6.3806e-010
4.0323e-002	0.	1.5323e-002	0.	6.2983e-010
4.1935e-002	0.	1.6935e-002	0.	6.2439e-010
4.3548e-002	0.	1.8548e-002	0.	6.1996e-010
4.5161e-002	0.	2.0161e-002	0.	6.1546e-010
4.6774e-002	0.	2.1774e-002	0.	6.1094e-010
4.8387e-002	0.	2.3387e-002	0.	6.0653e-010
5.e-002	0.	2.5e-002	0.	6.0224e-010
