Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
437	0.425	-2.5e-002	0.	1.9578e-013
438	0.425	-6.e-003	0.	2.812e-013
439	0.425	-2.4e-002	0.	2.0027e-013
440	0.425	-2.3e-002	0.	2.0477e-013
441	0.425	-2.2e-002	0.	2.0927e-013
442	0.425	-2.1e-002	0.	2.1376e-013
443	0.425	-2.e-002	0.	2.1826e-013
444	0.425	-1.9e-002	0.	2.2275e-013
445	0.425	-1.8e-002	0.	2.2725e-013
446	0.425	-1.7e-002	0.	2.3174e-013
447	0.425	-1.6e-002	0.	2.3624e-013
448	0.425	-1.5e-002	0.	2.4074e-013
449	0.425	-1.4e-002	0.	2.4523e-013
450	0.425	-1.3e-002	0.	2.4973e-013
451	0.425	-1.2e-002	0.	2.5422e-013
452	0.425	-1.1e-002	0.	2.5872e-013
453	0.425	-1.e-002	0.	2.6322e-013
454	0.425	-9.e-003	0.	2.6771e-013
455	0.425	-8.e-003	0.	2.7221e-013
456	0.425	-7.e-003	0.	2.767e-013
457	-0.425	-6.e-003	0.	-5.5957e-013
458	0.424	-6.e-003	0.	1.7769e-012
459	0.423	-6.e-003	0.	3.2726e-012
460	0.422	-6.e-003	0.	4.7683e-012
461	0.421	-6.e-003	0.	6.264e-012
462	0.42	-6.e-003	0.	7.7597e-012
463	0.419	-6.e-003	0.	9.2554e-012
464	0.418	-6.e-003	0.	1.0751e-011
465	0.417	-6.e-003	0.	1.2247e-011
466	0.416	-6.e-003	0.	1.3743e-011
467	0.415	-6.e-003	0.	1.5238e-011
468	0.414	-6.e-003	0.	1.6734e-011
469	0.413	-6.e-003	0.	1.823e-011
470	0.412	-6.e-003	0.	1.9725e-011
471	0.411	-6.e-003	0.	2.1221e-011
472	0.41	-6.e-003	0.	2.2717e-011
473	0.409	-6.e-003	0.	2.4212e-011
474	0.408	-6.e-003	0.	2.5708e-011
475	0.407	-6.e-003	0.	2.7204e-011
476	0.406	-6.e-003	0.	2.87e-011
477	0.405	-6.e-003	0.	3.0195e-011
478	0.404	-6.e-003	0.	3.1691e-011
479	0.403	-6.e-003	0.	3.3187e-011
480	0.402	-6.e-003	0.	3.4682e-011
